trial_id,symbols_traded,top_symbol,top_symbol_net_contribution,top_symbol_share,concentration_flag
T0001,59,SUIUSDT,0.39426501642597056,-0.46106701004356876,False
T0002,59,SUIUSDT,0.512695761622714,-7.057066568603271,False
T0003,59,SUIUSDT,0.3096289867559917,-0.20876367656435985,False
T0004,59,SUIUSDT,0.39426501642597056,-0.46106701004356876,False
T0005,59,SUIUSDT,0.512695761622714,-7.057066568603271,False
T0006,59,SUIUSDT,0.3096289867559917,-0.20876367656435985,False
T0007,59,SUIUSDT,0.4087628284206709,-0.6373437944853714,False
T0008,59,SUIUSDT,0.43658270106507424,-1.011097697696276,False
T0009,59,SUIUSDT,0.36633110893837784,-0.5816171482109195,False
T0010,59,SUIUSDT,0.376418818000152,-0.6217468370904377,False
T0011,59,SUIUSDT,0.4979697014400034,0.6879452502799419,True
T0012,59,SUIUSDT,0.6393505103148246,0.539698568645148,True
T0013,59,SUIUSDT,0.30476993457006896,-0.262648255179933,False
T0014,59,SUIUSDT,0.3726904710379527,-1.1309214054006682,False
T0015,59,SUIUSDT,0.4087628284206709,-0.7775079236277361,False
T0016,59,SUIUSDT,0.4279629775522651,-2.7547946243877144,False
T0017,59,SUIUSDT,0.3085668899067884,-0.5791108732903308,False
T0018,59,TIAUSDT,0.2339676391675085,-1.4566293354150617,False
T0019,53,SEIUSDT,0.15391818342463337,-0.10541015563977678,False
T0020,59,SUIUSDT,0.4267822747423141,-3.464297628205626,False
T0021,59,SUIUSDT,0.6081030765677594,16.287751155028467,True
T0022,59,SUIUSDT,0.3685920122701669,-1.5536663567420952,False
T0023,59,SUIUSDT,0.2716823703880249,-0.18031062149099622,False
T0024,59,SUIUSDT,0.2804379729284333,-0.1575423290806067,False
T0025,59,SUIUSDT,0.30476993457006896,-0.2803261319153174,False
T0026,59,SUIUSDT,0.3541218087004342,0.6755008376814712,True
T0027,59,SUIUSDT,0.37509353917300925,-0.3618268983718243,False
T0028,59,SUIUSDT,0.5007412144819502,29.375026401229242,True
T0029,59,SUIUSDT,0.3422811326592893,-0.44521184530111807,False
T0030,59,SUIUSDT,0.3422811326592893,-0.44521184530111807,False
T0031,59,SUIUSDT,0.5007412144819502,29.375026401229242,True
T0032,59,SUIUSDT,0.3422811326592893,-0.44521184530111807,False
T0033,59,SUIUSDT,0.3422811326592893,-0.44521184530111807,False
T0034,59,SUIUSDT,0.3422811326592893,-0.44521184530111807,False
T0035,59,SUIUSDT,0.26294412704540904,-0.22703334452354773,False
T0036,59,SUIUSDT,0.3185189332289129,-0.9885017430331037,False
T0037,59,SUIUSDT,0.28840798699976844,1.9676062321390935,True
T0038,59,SUIUSDT,0.24208155532606712,-0.4448938257044509,False
T0039,59,SUIUSDT,0.2702967120079045,-0.3357735813571111,False
T0040,59,SUIUSDT,0.42534066607884524,-0.36182906567352874,False
T0041,59,SUIUSDT,0.27676610929152057,-0.2325134619476321,False
T0042,59,SUIUSDT,0.3422811326592893,-0.3810725137972454,False
T0043,59,SUIUSDT,0.4860735002773654,4.368383091467567,True
T0044,59,TIAUSDT,0.30668543742199383,-1.1600543577149702,False
T0045,54,TIAUSDT,0.2698177607386031,0.5330529905272139,True
T0046,35,SUIUSDT,0.21875371881549965,0.5006511665106402,True
T0047,59,SUIUSDT,0.5009187980409264,0.8774106265028822,True
